NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,R,DIST,STAR,MSTAR,RSTAR,TEFF,HD,HR,HIPP,GL
,mjupiter,au,day,,deg,jd,m/s,,,,,rjupiter,pc,,msun,rsun,k,,,,
Kepler-47 b,,0.267621,49.514,0,,,,Orosz 2012,http://adsabs.harvard.edu/abs/2012Sci...337.1511O,Orosz 2012,http://adsabs.harvard.edu/abs/2012Sci...337.1511O,0.265621,,Kepler-47,1.043,0.964,5636,,,,
HD 215497 b,0.020855,0.0465952,3.93404,0.16,96,2454858.95,2.98,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,,43.592,HD 215497,0.872,1.10659,5113,215497,,112441,
Kepler-62 f,,0.717595,267.291,0.094434,237.995,2455442.463,,Borucki 2013,http://adsabs.harvard.edu/abs/2013Sci...340..587B,Borucki 2013,http://adsabs.harvard.edu/abs/2013Sci...340..587B,0.12568,368,Kepler-62,0.69,0.64,4925,,,,
HD 154345 b,0.956901,4.21377,3341.5588,0.044,68.1543,2452831.223,14.0318,Wright 2008,http://adsabs.harvard.edu/abs/2008ApJ...683L..63W,Wright 2007,http://adsabs.harvard.edu/abs/2007ApJ...657..533W,,18.5874,HD 154345,0.893,1,5468.12,154345,,83389,651
Kepler-60 c,,0.0871504,8.9193459,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,0.220162,,Kepler-60,1.11,1.5,5915,,,,
HD 217107 b,1.40112,0.0750282,7.1268163,0.126686,24.3621,2454395.787,139.204,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Fischer 1999,http://adsabs.harvard.edu/abs/1999PASP..111...50F,,19.857,HD 217107,1.108,1.5,5704.36,217107,8734,113421,
mu Ara c,1.88907,5.34057,4205.8,0.0985,57.6,2452955.2,21.79,Pepe 2007,http://adsabs.harvard.edu/abs/2007A%26A...462..769P,McCarthy 2004,http://adsabs.harvard.edu/abs/2004ApJ...617..575M,,15.5111,mu Ara,1.147,1.25035,5784.28,160691,6585,86796,
HD 7199 b,0.295018,1.36155,615,0.19,155,2455030,7.76,Dumusque 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D,Dumusque 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D,,35.8809,HD 7199,0.89,1.11756,5386,7199,,5529,
GJ 433 b,0.0181986,0.0580371,7.3709,0.08,204,2494287,3.11,Delfosse 2013,http://adsabs.harvard.edu/abs/2013A%26A...553A...8D,Delfosse 2013,http://adsabs.harvard.edu/abs/2013A%26A...553A...8D,,8.88257,GJ 433,0.48,,3600,,,56528,433
HAT-P-31 b,2.16627,0.0611921,5.005425,0.245,274.3,2454318.48,232.5,Kipping 2011,http://adsabs.harvard.edu/abs/2011AJ....142...95K,Kipping 2011,http://adsabs.harvard.edu/abs/2011AJ....142...95K,1.07,354,HAT-P-31,1.218,1.36,6065,,,,
OGLE-TR-113 b,1.25508,0.0228946,1.4324752,0,90,2452325.79823,267,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Konacki 2004; Bouchy 2004,http://adsabs.harvard.edu/abs/2004ApJ...609L..37K ; http://adsabs.harvard.edu/abs/2004A%26A...421L..13B,1.093,600,OGLE-TR-113,0.779,0.774,4790,,,,
Kepler-41 b,0.493327,0.0289537,1.855558,0,90,2454970.714,85,Santerne 2011,http://adsabs.harvard.edu/abs/2011A%26A...536A..70S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.841,729.927,Kepler-41,0.94,0.966,5660,,,,
HD 40307 d,0.028076,0.132422,20.46,0,0,2454532.42,2.55,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..639M,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..639M,,12.9955,HD 40307,0.74,0.839223,4977,40307,,27887,2046
HD 290327 b,2.54762,3.43052,2443,0.08,268,2455326,41.3,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,,56.6572,HD 290327,0.9,0.997399,5552,290327,,25191,
GJ 876 e,0.039229,0.333345,124.26,0.055,239,2450519.598,3.42,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...719..890R,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...719..890R,,4.68867,GJ 876,0.32,,,,,113020,876
HD 169830 c,4.06407,3.60184,2102,0.33,252,2452516,54.3,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,36.6032,HD 169830,1.407,1.80318,6221.43,169830,6907,90485,
47 UMa c,0.545774,3.57197,2391,0.098,295,2452441,8,Gregory 2010,http://adsabs.harvard.edu/abs/2010MNRAS.403..731G,Fischer 2002,http://adsabs.harvard.edu/abs/2002ApJ...564.1028F,,14.0627,47 UMa,1.063,1.11869,5882.31,95128,4277,53721,407
Kepler-85 b,,0.0780663,8.306,,,,,Xie 2012,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,Xie 2012,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,0.176,,Kepler-85,0.92,1.24,5497,,,,
HD 63765 b,0.643827,0.94038,358,0.24,122,2454404,20.9,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,,33.2557,HD 63765,0.865,0.975102,5432,63765,,38041,
HD 85390 b,0.131884,1.52377,788,0.41,266,2454464.2,3.82,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M,,32.3729,HD 85390,0.76,0.958233,5186,85390,,48235,
WASP-77 A b,0.119555,0.0240406,1.3600309,0,90,2455870.44977,21.9,Maxted 2013,http://adsabs.harvard.edu/abs/2013PASP..125...48M,Maxted 2013,http://adsabs.harvard.edu/abs/2013PASP..125...48M,1.21,93,WASP-77 A,1.002,0.955,5500,,,,
55 Cnc e,0.0261924,0.0154393,0.736546,0,90,2455568.011,6.3,Endl 2012,http://adsabs.harvard.edu/abs/2012ApJ...759...19E,McArthur 2004,http://adsabs.harvard.edu/abs/2004ApJ...614L..81M,0.185565,12.3411,55 Cnc,0.905,0.943,5196,75732,3522,43587,324
HIP 57274 d,0.528573,1.00678,431.7,0.27,187.2,2455108.116,18.2,Fischer 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...21F,Fischer 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...21F,,25.9202,HIP 57274,0.73,0.68,4640,,,57274,
HD 221287 b,3.11535,1.25015,456.10001,0.08,98,2453263,71,Naef 2007,http://adsabs.harvard.edu/abs/2007A%26A...470..721N,Naef 2007,http://adsabs.harvard.edu/abs/2007A%26A...470..721N,,55.2792,HD 221287,1.25,1.10236,6304,221287,,116084,
KOI-13 b,,0.0362917,1.7637,0,,2455138.7439,,Shporer 2011,http://adsabs.harvard.edu/abs/2011AJ....142..195S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,1.83,,KOI-13,2.05,2.55,8500,,,,
HD 192699 b,2.29191,1.12292,345.53,0.129,41.3,2454036.6,49.3,Bowler 2010,http://adsabs.harvard.edu/abs/2010ApJ...709..396B,Johnson 2007,http://adsabs.harvard.edu/abs/2007ApJ...665..785J,,65.6168,HD 192699,1.58,3.61317,5141,192699,,99894,
HD 181342 b,3.14944,1.777,663,0.177,281,2454881,52.3,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,,110.619,HD 181342,1.7,4.76324,4965,181342,,95124,
WASP-8 b,2.13728,0.080153,8.158715,0.31,274.27,2454679.33394,222.23,Queloz 2010,http://adsabs.harvard.edu/abs/2010A%26A...517L...1Q,Queloz 2010,http://adsabs.harvard.edu/abs/2010A%26A...517L...1Q,1.038,86.9996,WASP-8,1.03,0.945,5600,,,,
HD 131496 b,2.24115,2.1121,883,0.163,22,2456040,35,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,110,HD 131496,1.61,4.56407,4927,131496,,72845,
PSR B1257+12 c,,0.321369,66.5419,0.0186,250.4,2449768.1,,Konacki 2003,http://adsabs.harvard.edu/abs/2003ApJ...591L.147K,Wolszczan 1992,http://adsabs.harvard.edu//abs/1992Natur.355..145W,,,PSR B1257+12,,,,,,,
HD 44219 b,0.589265,1.18713,472.3,0.61,147.4,2454585.6,19.4,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,,50.4286,HD 44219,1,1.36324,5752,44219,,30114,
75 Cet b,2.7597,1.97678,691.9,0.117,165,2452213,38.3,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S,,81.4332,75 Cet,2.15,10.5,4904,15779,739,11791,
Kepler-27 b,0,0.10464,15.3348,0,90,2454991.6726,,Steffen 2012,http://adsabs.harvard.edu/abs/2012MNRAS.421.2342S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.356538,,Kepler-27,0.65,0.59,5400,,,,
Kepler-40 b,2.17681,0.0806644,6.87349,0,90,2455005.5198,179,Santerne 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..63S,Santerne 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..63S,1.17,2700,Kepler-40,1.48,2.13,6510,,,,
HD 220074 b,11.1883,1.60044,672.1,0.14,323,2451158.2,230.8,Lee 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A...2L,Lee 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A...2L,,324.675,HD 220074,1.2,54.7067,3935,220074,8881,115218,
HAT-P-39 b,0.598375,0.0509456,3.54387,0,90,2455208.75049,63.6,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H,1.571,642,HAT-P-39,1.404,1.625,6430,,,,
WASP-26 b,1.00876,0.0399686,2.7566,0,90,2455123.6379,135.5,Smalley 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..56S,Smalley 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..56S,1.32,250,WASP-26,1.12,1.34,5059,,,,
WASP-71 b,2.24554,0.0463361,2.9036747,0,90,2455738.84977,236.4,Smith 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A.120S,Smith 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A.120S,1.5,200,WASP-71,1.572,2.32,6050,,,,
HIP 2247 b,5.12319,1.33884,655.6,0.54,112.2,2454627.1,173.3,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,,35.7015,HIP 2247,0.74,1.07261,4714,,,2247,
GJ 876 d,0.0184193,0.0208066,1.93778,0.207,234,2450600.2,6.56,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...719..890R,Rivera 2005,http://adsabs.harvard.edu/abs/2005ApJ...634..625R,,4.68867,GJ 876,0.32,,,,,113020,876
OGLE-TR-56 b,1.35448,0.0238309,1.2119189,0,90,2452072.683,225,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Konacki 2003,http://adsabs.harvard.edu/abs/2003Natur.421..507K,1.363,1500,OGLE-TR-56,1.228,1.363,6050,,,,
HD 38529 b,0.803263,0.1272,14.310195,0.243663,95.3538,2454384.815,57.0213,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Fischer 2001,http://adsabs.harvard.edu/abs/2001ApJ...551.1107F,,39.2773,HD 38529,1.34,2.02418,5674,38529,1988,27253,
BD +20 2457 c,6.90191,1.45701,621.99,0.18,126.02,2453866.95,160.03,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,,424.628,BD +20 2457,1.06,32.9639,4259,,,,
HD 22781 b,13.8403,1.16847,528.07,0.8191,315.92,2454881.4,726.4,Diaz 2012,http://adsabs.harvard.edu/abs/2012A%26A...538A.113D,Diaz 2011,http://adsabs.harvard.edu/abs/2011EPJWC..1102006D,,32.7761,HD 22781,0.75,0.720445,5027,22781,,17187,
HD 120084 b,4.4772,4.26892,2082,0.66,117,2450774,53,Sato 2013,http://adsabs.harvard.edu/abs/2013arXiv1304.4328S,Sato 2013,http://adsabs.harvard.edu/abs/2013arXiv1304.4328S,,97.6562,HD 120084,2.39,10.9537,4892,2952,5184,66903,
MOA-2009-BLG-266L b,,,,,,,,Muraki 2011,http://adsabs.harvard.edu/abs/2011ApJ...741...22M,Donnison 2010,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2966.2010...x/pdf,,3040,MOA-2009-BLG-266L,0.56,,,,,,
HD 20868 b,2.00901,0.947319,380.85,0.75,356.2,2454451.52,100.34,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,,46.2107,HD 20868,0.78,1.15581,4795,20868,,15578,
HAT-P-9 b,0.775153,0.0528645,3.92289,0,90,2454417.9077,84.7,Shporer 2009,http://adsabs.harvard.edu/abs/2009ApJ...690.1393S,Shporer 2009,http://adsabs.harvard.edu/abs/2009ApJ...690.1393S,1.4,480.769,HAT-P-9,1.28,1.32,6350,,,,
Kepler-33 e,,0.213825,31.7844,0,90,2454968.8,,Lissauer 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..112L,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.358929,,Kepler-33,1.291,1.82,5904,,,,
Kepler-19 b,0,0.0845828,9.2869944,0,90,2454959.70597,,Ballard 2011,http://adsabs.harvard.edu/abs/2011ApJ...743..200B,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.197074,,Kepler-19,0.936,0.85,5541,,,,
HD 107148 b,0.212171,0.270013,48.056,0.05,75,2439969,10.9,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,,51.2033,HD 107148,1.137,1.04161,5797.24,107148,,60081,
KIC 11442793 b,,,0,,,,,Cabrera 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,Cabrera 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,,780,KIC 11442793,1.2,,6080,,,,
51 Peg b,0.461143,0.0521068,4.230785,0.013,58,2450001.51,55.94,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Mayor 1995,http://adsabs.harvard.edu/abs/1995Natur.378..355M,,15.6079,51 Peg,1.054,1.02451,5786.68,217014,8729,113357,882
WASP-60 b,,0.0531041,4.3050011,0,90,2455747.0295,,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,0.86,400,WASP-60,1.078,1.14,5900,,,,
55 Cnc f,0.172877,0.773567,261.2,0.32,139,2450080.9108,6.2,Endl 2012,http://adsabs.harvard.edu/abs/2012ApJ...759...19E,Fischer 2008,http://adsabs.harvard.edu/abs/2008ApJ...675..790F,,12.3411,55 Cnc,0.905,0.943,5196,75732,3522,43587,324
HD 212301 b,0.39615,0.034116,2.245715,0,0,2453549.195,59.5,Lo Curto 2006,http://adsabs.harvard.edu/abs/2006A%26A...451..345L,Lo Curto 2006,http://adsabs.harvard.edu/abs/2006A%26A...451..345L,,54.9451,HD 212301,1.05,,5997.91,212301,,110852,
GJ 504 b,,,,,,,,,,Kuzuhara 2013,http://arxiv.org/abs/1307.2886,,17.67,GJ 504,1.22,0.912273,6234,115383,5011,64792,
HAT-P-15 b,1.9513,0.0964692,10.863502,0.19,262,2454632.8,180.6,Kovacs 2010,http://adsabs.harvard.edu/abs/2010ApJ...724..866K,Kovacs 2010,http://adsabs.harvard.edu/abs/2010ApJ...724..866K,1.072,190.114,HAT-P-15,1.013,1.08,5568,,,,
HD 209458 b,0.68851,0.047235,3.52474859,0,0,2452826.628514,84.67,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Henry 2000 ; Charbonneau 2000,http://adsabs.harvard.edu/abs/2000ApJ...529L..41H ; http://adsabs.harvard.edu/abs/2000ApJ...529L..45C,1.359,49.6278,HD 209458,1.131,1.155,6065,209458,,108859,
HD 102272 b,4.10898,0.512595,127.58,0.05,118,2452146,155.5,Niedzielski 2008,http://adsabs.harvard.edu/abs/2009ApJ...693..276N,Niedzielski 2008,http://adsabs.harvard.edu/abs/2009ApJ...693..276N,,243.902,HD 102272,1.1,12.7057,4807,102272,,57428,
HD 181433 b,0.0237331,0.0800943,9.3743,0.396,202,2454542,2.94,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,,26.7594,HD 181433,0.78,1.00831,4962,181433,,95467,756.1
HD 187123 b,0.510056,0.042091,3.0965828,0.0102736,24.5363,2454343.116,69.4006,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Butler 1998,http://adsabs.harvard.edu/abs/1998PASP..110.1389B,,48.2626,HD 187123,1.037,1.14277,5814.99,187123,,97336,
HD 108147 b,0.257999,0.101407,10.8985,0.53,308,2450828.86,25.1,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Pepe 2002,http://adsabs.harvard.edu/abs/2002A%26A...388..632P,,38.0807,HD 108147,1.171,1.29703,6156.24,108147,,60644,
Kepler-82 c,,0.256743,51.538,,,,,Xie 2012,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,Xie 2012,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,0.477,,Kepler-82,0.85,0.9,5512,,,,
WASP-61 b,2.05477,0.0514489,3.8559,0,90,2455859.52825,233,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,1.24,480.001,WASP-61,1.22,1.36,6250,,,,
Kepler-58 b,,0.0905953,10.2184954,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.247794,,Kepler-58,0.95,1.03,5843,,,,
HD 215497 c,0.327524,1.28243,567.94,0.49,45,2455003.48,10.1,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,,43.592,HD 215497,0.872,1.10659,5113,215497,,112441,
CoRoT-17 b,2.45898,0.0480499,3.7681,0,90,2454923.3093,312.4,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C,1.02,919.997,CoRoT-17,1.04,1.5121,5740,,,,
HD 20794 d,0.0147932,0.349781,90.309,0,0,2454779.34,0.85,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,,6.05987,HD 20794,0.7,1.22683,5401,20794,1008,15510,
xi Aql b,1.77912,0.53813,136.75,0,0,2453001.7,65.4,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60..539S,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60..539S,,56.2746,xi Aql,1.11,10.45,4714,188310,7595,97938,
HD 33564 b,9.12785,1.1241,388,0.34,205,2452603,232,Galland 2005,http://adsabs.harvard.edu/abs/2005A%26A...444L..21G,Galland 2005,http://adsabs.harvard.edu/abs/2005A%26A...444L..21G,,20.8855,HD 33564,1.25,,6250,33564,,25110,196
HD 40979 b,4.02224,0.846038,264.15,0.252,323.4,2453919,119.4,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Fischer 2003,http://adsabs.harvard.edu/abs/2003ApJ...586.1394F,,33.1126,HD 40979,1.154,1.27973,6089.29,40979,,28767,
GJ 581 c,0.0167756,0.0729238,12.9182,0.07,235,2454763,3.18,Forveille 2011,http://xxx.lanl.gov/abs/1109.2505,Udry 2007,http://adsabs.harvard.edu/abs/2007A%26A...469L..43U,,6.24532,GJ 581,0.31,0.299,3498,,,74995,581
HD 10180 c,0.0415054,0.0641175,5.75962,0.077,279,2454001.4959,4.54,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,,39.0168,HD 10180,1.06,1.10851,5911,10180,,7599,
WASP-31 b,0.477154,0.0466223,3.405909,0,90,2455189.2828,58.2,Anderson 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..60A,Anderson 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..60A,1.537,400,WASP-31,1.165,1.252,6302,,,,
HD 134987 c,0.804926,5.82513,5000,0.12,195,2451100,9.3,Jones 2010,http://adsabs.harvard.edu/abs/2010MNRAS.403.1703J,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,,26.2055,HD 134987,1.054,1.16572,5749.68,134987,5657,74500,579.4
HD 40307 b,0.0129071,0.0468927,4.3115,0,0,2454562.77,1.97,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..639M,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..639M,,12.9955,HD 40307,0.74,0.839223,4977,40307,,27887,2046
iota Dra b,9.31534,1.31029,511.098,0.7124,91.58,2452014.59,307.6,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Frink 2002,http://adsabs.harvard.edu/abs/2002ApJ...576..478F,,31.027,iota Dra,1.14,11.99,4528,137759,,75458,
HD 108874 b,1.2902,1.03527,394.48124,0.1276,219.356,2454045.049,37.27,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,,62.6174,HD 108874,0.95,1.12115,5550.95,108874,,61028,
HD 4732 b,2.37727,1.19218,360.2,0.13,85,2454967,47.3,Sato 2013,http://adsabs.harvard.edu/abs/2013ApJ...762....9S,Sato 2013,http://adsabs.harvard.edu/abs/2013ApJ...762....9S,,57.9039,HD 4732,1.74,5.55146,4959,4732,228,3834,
HD 23596 b,7.74272,2.77219,1561,0.266,272.6,2453162,127,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Perrier 2003,http://adsabs.harvard.edu/abs/2003A%26A...410.1039P,,50.4286,HD 23596,1.159,1.96615,5903.55,23596,,17747,
HD 25171 b,0.956204,3.03064,1845,0.08,96,2455301,15,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,,54.9753,HD 25171,1.09,1.06877,6160,25171,,18387,
HD 83443 b,0.395855,0.0404623,2.985698,0.013,117,2451211.79,56.2,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2002,http://adsabs.harvard.edu/abs/2002ApJ...578..565B,,41.1692,HD 83443,0.991,0.942509,5453.4,83443,,47202,
WASP-36 b,2.25537,0.0262601,1.5373653,0,90,2455569.83731,391.4,Smith 2012,http://adsabs.harvard.edu/abs/2012AJ....143...81S,Smith 2012,http://adsabs.harvard.edu/abs/2012AJ....143...81S,1.269,450,WASP-36,1.02,0.943,5881,,,,
HD 43691 b,2.49717,0.241901,36.959999,0.14,290,2454046.6,124,Da Silva 2007,http://adsabs.harvard.edu/abs/2007A%26A...473..323D,Da Silva 2007,http://adsabs.harvard.edu/abs/2007A%26A...473..323D,,80.3859,HD 43691,1.38,1.34586,6200,43691,,30057,
30 Ari B b,9.87792,0.99475,335.1,0.289,307,2454538,272,Guenther 2009,http://adsabs.harvard.edu/abs/2009A%26A...507.1659G,Guenther 2009,http://adsabs.harvard.edu/abs/2009A%26A...507.1659G,,40.783,30 Ari B,1.16,1.02283,6300,16232,,12184,
HAT-P-6 b,1.05632,0.0523738,3.852985,0,90,2454035.67575,115.5,Noyes 2008,http://adsabs.harvard.edu/abs/2008ApJ...673L..79N,Noyes 2008,http://adsabs.harvard.edu/abs/2008ApJ...673L..79N,1.33,261.097,HAT-P-6,1.29,1.46,6570,,,,
Kepler-35 b,0.127,0.48628,131.458,0.042,11.6336,2454920.3,,Welsh 2012,http://adsabs.harvard.edu/abs/2012Natur.481..475W,Welsh 2012,http://adsabs.harvard.edu/abs/2012Natur.481..475W,0.728,,Kepler-35,0.8877,1.0284,,,,,
BD -08 2823 c,0.328101,0.679166,237.6,0.19,127,2454193,13.4,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..46H,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..46H,,42.4989,BD -08 2823,0.74,1.27853,4746,,,49067,
4 UMa b,7.13242,0.876999,269.29999,0.432,23.81,2452987.394,215.55,Dollinger 2007,http://adsabs.harvard.edu/abs/2007A%26A...472..649D,Dollinger 2007,http://adsabs.harvard.edu/abs/2007A%26A...472..649D,,78.4929,4 UMa,1.234,34.6101,4415,73108,3403,42527,
Qatar-1 b,1.08272,0.0234308,1.420033,0,90,2455518.4102,218,Alsubai 2011,http://adsabs.harvard.edu/abs/2011MNRAS.417..709A,Alsubai 2011,http://adsabs.harvard.edu/abs/2011MNRAS.417..709A,1.164,175,Qatar-1,0.85,0.823,4861,,,,
HD 10697 b,6.23505,2.13177,1075.2,0.099,111.2,2451480,115.4,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,,32.5733,HD 10697,1.112,1.54131,5680.44,10697,508,8159,72
Kepler-32 e,,0.0323795,2.896,,,2454966.61,,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.133702,303,Kepler-32,0.54,0.53,3793,,,,
HD 113337 b,2.83,1.03346,324,0.46,219.2,2456074.5,75.6,Borgniet 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.1994B,Borgniet 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.1994B,,36.8868,HD 113337,1.4,1.5,6576.58,113337,4934,63584,
Kepler-11 f,0.00723,0.250413,46.6888,0.013,90,2455618.271,,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,0.221888,,Kepler-11,0.961,1.065,5663,,,,
BD +20 2457 b,11.8883,1.04992,379.63,0.15,207.64,2454677.03,322.35,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,,200,BD +20 2457,1.06,32.9639,4259,,,,
