NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,R,DIST,STAR,MSTAR,RSTAR,TEFF,HD,HR,HIPP,GL
,mjupiter,au,day,,deg,jd,m/s,,,,,rjupiter,pc,,msun,rsun,k,,,,
Kepler-61 b,,0.257458,59.87756,0,,,,Ballard 2013,http://adsabs.harvard.edu/abs/2013ApJ...773...98B,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.191639,,Kepler-61,0.635,0.62,4017,,,,
GJ 667 C c,0.0134408,0.125092,28.13,0.34,166,2454462,2,Delfosse 2013,http://adsabs.harvard.edu/abs/2013A%26A...553A...8D,Bonfils 2011,http://arxiv.org/abs/1111.5019,,7.23589,GJ 667 C,0.33,,3600,,,,667
HD 207832 c,0.730294,2.1118,1155.7,0.27,121.6,2453191.07306,15.3,Haghighipour 2012,http://adsabs.harvard.edu/abs/2012ApJ...756...91H,Haghighipour 2012,http://adsabs.harvard.edu/abs/2012ApJ...756...91H,,54.4366,HD 207832,0.94,0.901,5710,207832,,107985,
Kepler-80 b,,0.0788018,9.522,,,,,Xie 2012,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,Xie 2012,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,0.249,,Kepler-80,0.72,0.65,4613,,,,
Kepler-44 b,1.01508,0.0454854,3.24674,0,90,2454966.3781,124,Bonomo 2012,http://adsabs.harvard.edu/abs/2012A%26A...538A..96B,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,1.24,2250.02,Kepler-44,1.19,1.52,5757,,,,
HD 5891 b,5.22845,0.636168,177.11,0.066,351,2455432,178.5,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,251,HD 5891,1.09,11.8348,4825,5891,,4715,
HD 173416 b,2.71808,1.16272,323.6,0.21,254,2453465.8,51.8,Liu 2009,http://adsabs.harvard.edu/abs/2009RAA.....9....1L,Liu 2009,http://adsabs.harvard.edu/abs/2009RAA.....9....1L,,139.47,HD 173416,2,14.3919,4683,173416,,91852,
HD 76700 b,0.232142,0.0511051,3.97097,0.095,30,2451213.32,27.6,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T,,60.2773,HD 76700,1.129,1.2353,5668.45,76700,,43686,
HD 39091 b,10.088,3.34651,2151,0.6405,330.24,2447820,196.4,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Jones 2002,http://adsabs.harvard.edu/abs/2002MNRAS.333..871J,,18.315,HD 39091,1.071,1.14999,5949.91,39091,2022,26394,9189
HD 7449 b,1.3131,2.33982,1275,0.82,339,2455298,41.59,Dumusque 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D,Dumusque 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D,,38.5208,HD 7449,1.05,0.952526,6024,7449,,5806,
